search_id	search_date	clicks	group
2198842120875211809	2017-11-23	0	2
2347562411468182853	2017-11-23	0	2
3101287031360641740	2017-11-22	0	2
3264349377927111150	2017-11-23	0	2
3893620502370607243	2017-11-22	0	2
417100433488133173	2017-11-23	0	2
4578027206945505099	2017-11-23	0	2
45845039497253374	2017-11-22	0	2
5436215351052923460	2017-11-22	0	2
5569196147132616292	2017-11-22	1	2
5791704158241691029	2017-11-23	0	2
6051615868317284942	2017-11-22	0	2
6095750747589558730	2017-11-25	1	2
6201415419235139404	2017-11-23	1	2
6248952214550669893	2017-11-23	0	2
6551857336674499459	2017-11-22	0	2
6659507056451543888	2017-11-22	1	2
7025527373202640076	2017-11-22	0	2
7029559802039575711	2017-11-23	0	2
7467998222991356052	2017-11-24	0	2
8460994407274944183	2017-11-22	0	2
8873553673809627532	2017-11-22	0	2
9133568031769743491	2017-11-22	0	2
-132247518917020090	2017-11-25	0	2
-4928018083574194328	2017-11-23	0	2
-5222068277823863891	2017-11-25	0	2
-828242826490450931	2017-11-22	0	2
-8321326184195424713	2017-11-24	0	2
-8865265450581138376	2017-11-24	0	2
-8992297009794076431	2017-11-22	0	2
6283150623310531076	2017-11-22	0	2
6974534781548764025	2017-11-23	0	2
7163947045403494486	2017-11-23	1	2
-1461176790463024773	2017-11-23	0	2
-6323785580831960958	2017-11-24	0	2
-161015038878104711	2017-11-24	0	2
-2380597365122733159	2017-11-24	1	2
-3781236119810209212	2017-11-22	0	2
-4165439873664784921	2017-11-23	0	2
-5542494505521214758	2017-11-24	2	2
-7388179245373897919	2017-11-23	0	2
-7817718027361073873	2017-11-22	0	2
2138315534312972536	2017-11-23	2	2
229511358140372266	2017-11-22	0	2
2456249847060467083	2017-11-22	0	2
4512570066983321751	2017-11-24	2	2
5162654681751481929	2017-11-23	0	2
6165121545143785587	2017-11-23	0	2
7388905509574159798	2017-11-22	0	2
9099143853675552913	2017-11-22	0	2
-2072214346179032273	2017-11-22	0	2
884052222593997358	2017-11-24	0	2
9170790271674578172	2017-11-23	0	2
-1730041758052873756	2017-11-24	0	2
-181578791536237221	2017-11-22	0	2
-4380893047353262708	2017-11-24	0	2
2232368901762189462	2017-11-23	0	2
-4596875147572023245	2017-11-24	1	2
6649629942318862807	2017-11-23	2	2
7334498735926772525	2017-11-22	2	2
8062471145497606758	2017-11-23	0	2
